Survey ResponseID,privacy_level,n_recs,score_topk,score_out,gap_score,delta_s1_needed,delta_s2_needed,delta_s5_needed,s1_out,s1_topk,factible_s1,dificultad
R_3NQyjCbeWDx3POa,Privada_sensible,11,0.4780074133035431,0.4149445564314174,0.0630628568721257,0.15765714218031426,0.2522514274885028,0.630628568721257,,,True,Moderado (0.15-0.30)
R_3NX1XMFeTwLlCt1,No_privada,20,0.2731177504103055,0.26330750223423754,0.00981024817606796,0.0245256204401699,0.03924099270427184,0.0981024817606796,,,True,Muy fácil (Δ≤0.05)
R_3NwUrzA3eAsS3xO,No_privada,20,0.4278289431913194,0.42365158526405733,0.004177357927262093,0.010443394818155233,0.016709431709048372,0.04177357927262093,,,True,Muy fácil (Δ≤0.05)
R_3NxQLbGnG7D6JNk,Privada_sensible,10,0.3179349411668467,0.200684071766446,0.11725086940040066,0.29312717350100165,0.46900347760160266,1.1725086940040066,,,True,Moderado (0.15-0.30)
R_3O1i61TeOWPvr69,Privada_sensible,20,0.24238518406942117,0.22015631777842823,0.022228866290992938,0.055572165727482345,0.08891546516397175,0.22228866290992938,,,True,Fácil (0.05-0.15)
R_3O2Hrt1JCQeiPEN,Privada_sensible,20,0.681176068120175,0.6660009927744878,0.015175075345687183,0.03793768836421796,0.060700301382748734,0.15175075345687183,,,True,Muy fácil (Δ≤0.05)
R_3O3q0hfoQEIpPpf,Privada_sensible,20,0.564170033929361,0.5290970622541732,0.03507297167518786,0.08768242918796965,0.14029188670075143,0.3507297167518786,,,True,Fácil (0.05-0.15)
R_3O6Op6leKJ2UbDv,Privada_sensible,17,0.32336839476466556,0.32311647455377956,0.0002519202108859919,0.0006298005272149798,0.0010076808435439677,0.0025192021088599192,,,True,Muy fácil (Δ≤0.05)
R_3O7heagIMZY2HnD,Privada_sensible,8,0.21046987163455702,0.18773937952094158,0.02273049211361544,0.056826230284038604,0.09092196845446177,0.22730492113615441,,,True,Fácil (0.05-0.15)
R_3O8mzYfcgX5JIsm,Privada_moderada,12,0.6642481977738112,0.6291663720166921,0.035081825757119045,0.08770456439279761,0.14032730302847618,0.35081825757119045,,,True,Fácil (0.05-0.15)
R_3O9aPnM7ixjsbYK,No_privada,11,0.40416047727171595,0.3978512655346487,0.006309211737067222,0.015773029342668055,0.025236846948268887,0.06309211737067222,,,True,Muy fácil (Δ≤0.05)
R_3OcdDAmMMZQ0LEr,Privada_moderada,20,0.35775727388275724,0.35594756592958904,0.0018097079531682048,0.004524269882920512,0.007238831812672819,0.018097079531682048,,,True,Muy fácil (Δ≤0.05)
R_3OdXDDGsG2bvbXb,Privada_sensible,20,0.2708866443987016,0.2695107759025397,0.0013758684961618917,0.003439671240404729,0.005503473984647567,0.013758684961618917,,,True,Muy fácil (Δ≤0.05)
R_3OfwQrDNFhWjGWG,No_privada,20,0.5128425274035265,0.438316245789491,0.07452628161403552,0.1863157040350888,0.29810512645614207,0.7452628161403552,,,True,Moderado (0.15-0.30)
R_3OfzFpZ2ea8383J,No_privada,9,0.4415934197606272,0.395683612386884,0.04590980737374323,0.11477451843435807,0.1836392294949729,0.4590980737374323,,,True,Fácil (0.05-0.15)
R_3OiAK9V155cWEsy,Privada_sensible,20,0.39840802955016913,0.3976358048511635,0.0007722246990056192,0.001930561747514048,0.0030888987960224767,0.007722246990056192,,,True,Muy fácil (Δ≤0.05)
R_3OjDexwqOJReNX2,Privada_sensible,20,0.6698298796098938,0.6304568408198841,0.03937303879000975,0.09843259697502438,0.157492155160039,0.3937303879000975,,,True,Fácil (0.05-0.15)
R_3OkQef19KXJJE3U,No_privada,20,0.595567931958527,0.5363826402168765,0.059185291741650436,0.1479632293541261,0.23674116696660175,0.5918529174165044,,,True,Fácil (0.05-0.15)
R_3Or9OOyX38WzqCd,No_privada,20,0.39168149602216573,0.36088118715466805,0.030800308867497683,0.07700077216874421,0.12320123546999073,0.30800308867497683,,,True,Fácil (0.05-0.15)
R_3P4QthjwwxEaV1m,Privada_sensible,8,0.4443573656277074,0.4001409134338117,0.044216452193895694,0.11054113048473924,0.17686580877558278,0.44216452193895694,,,True,Fácil (0.05-0.15)
