Survey ResponseID,n_recs,ild_category,ild_cat1,ild_cat2,ild_pct,avg_score,avg_reasons,hit_rate,privacy_level,exp_group,total_products,category_diversity,is_category_specialist,category_top1,cuartil_hist
R_RPsG6lwAEr4IirL,6,4,4,3,0.6666666666666666,0.38234654715195143,3.0,0.16666666666666666,Privada_moderada,control,172.0,79,False,NUTRITIONAL_SUPPLEMENT,Q1 cold-start
R_RPudbSO1mm9KZSp,20,15,12,9,0.75,0.4638270338950904,3.0,0.75,No_privada,na,242.0,132,False,NAN,Q2
R_RUiKvns4bLPdv1v,20,11,8,6,0.55,0.65609423001344,2.75,0.35,Privada_sensible,na,441.0,148,False,BATTERY,Q3
R_RekNI4I8FXKS9lT,20,13,10,8,0.65,0.2693607499720664,2.95,0.05,Privada_moderada,control,411.0,131,False,SKIN_MOISTURIZER,Q3
R_RfThNEyjDIX9xwl,1,1,1,1,1.0,1.0,3.0,1.0,No_privada,na,494.0,222,False,NAN,Q3
R_RhiUIvJQ2lPbhap,20,9,7,4,0.45,0.5211476862818883,3.0,0.1,No_privada,na,97.0,59,False,ABIS_BOOK,Q1 cold-start
R_Rk6QaXPtRCxwSLT,2,2,2,2,1.0,0.7617872894042317,3.0,0.5,Privada_sensible,na,179.0,83,False,RECREATION_BALL,Q1 cold-start
R_RlSNQ6510NQghgZ,20,15,9,7,0.75,0.547362345297028,3.0,0.25,No_privada,na,2707.0,261,False,PET_FOOD,Q4 historial rico
R_RlYyUhsDFvyGwX7,10,6,5,4,0.6,0.37031195489458285,2.3,0.2,Privada_sensible,na,2023.0,470,False,ABIS_BOOK,Q4 historial rico
R_RrAzSSEpdQYcUx3,3,1,1,1,0.3333333333333333,0.7003172432546744,3.0,0.6666666666666666,No_privada,na,1150.0,317,False,NAN,Q4 historial rico
R_Rw7CA3irllJSRH3,6,6,6,5,1.0,0.6137642825866191,3.0,0.16666666666666666,No_privada,na,1232.0,358,False,ABIS_BOOK,Q4 historial rico
R_RxeYwKZ5Zu9SiT7,9,2,2,2,0.2222222222222222,0.6448625031215346,2.6666666666666665,0.6666666666666666,Privada_sensible,na,26.0,18,False,GIFT_CARD,Q1 cold-start
R_SBiEJOUFyfjK5eF,4,4,4,4,1.0,0.42987529866177654,2.5,0.75,Privada_sensible,na,470.0,150,False,ABIS_BOOK,Q3
R_SC38DnC6mtyMrDz,10,5,4,5,0.5,0.3167844218203024,2.6,0.1,Privada_sensible,na,37.0,23,False,PET_TOY,Q1 cold-start
R_SDngZDpmHNEeIBH,3,3,3,3,1.0,0.43380757059769665,2.6666666666666665,0.3333333333333333,Privada_sensible,na,662.0,244,False,VEGETABLE,Q3
R_SDxHC9YZwYTKedz,12,4,4,3,0.3333333333333333,0.4583180351505581,2.6666666666666665,0.3333333333333333,Privada_sensible,na,951.0,200,False,GIFT_CARD,Q4 historial rico
R_SE2qI33L0z1rw2J,14,12,10,9,0.8571428571428571,0.3280243406557881,2.7142857142857144,0.07142857142857142,Privada_sensible,na,260.0,103,False,ABIS_BOOK,Q2
R_SE8gIJVx1g0m6T7,1,1,1,1,1.0,1.0,3.0,1.0,Privada_sensible,na,429.0,195,False,NAN,Q3
R_SGAAoUST7I3bMpr,18,10,6,5,0.5555555555555556,0.2697317684704871,3.0,0.05555555555555555,Privada_moderada,control,611.0,219,False,ELECTRONIC_CABLE,Q3
R_SGKBwA3GI43FYlj,7,4,4,4,0.5714285714285714,0.308743278354863,3.0,0.5714285714285714,Privada_sensible,na,194.0,114,False,NAN,Q2
R_SH9KwMo2tRoWdJn,1,1,1,1,1.0,1.0,2.0,1.0,Privada_sensible,na,236.0,115,False,ABIS_BOOK,Q2
R_SIWNWQmjel55jzP,18,12,9,8,0.6666666666666666,0.7245706387319525,3.0,0.7222222222222222,No_privada,na,199.0,85,False,ABIS_BOOK,Q2
R_SNUZbqGQUi0m9yh,1,1,1,1,1.0,1.0,3.0,1.0,Privada_sensible,na,490.0,197,False,SHIRT,Q3
R_SSIp9k1v28goIiR,1,1,1,1,1.0,1.0,3.0,1.0,Privada_sensible,na,32.0,20,False,ABIS_BOOK,Q1 cold-start
R_SV0JxIoAjGBzoyJ,20,9,6,4,0.45,0.46775773264781806,2.7,0.1,Privada_sensible,na,791.0,164,False,GIFT_CARD,Q4 historial rico
R_SVHcBOlErkMEJjP,20,9,7,5,0.45,0.4019787763747781,1.6,0.25,Privada_sensible,na,908.0,311,False,NAN,Q4 historial rico
R_SVjRFGTZae7kgBX,3,1,1,1,0.3333333333333333,0.8364339544121625,3.0,1.0,No_privada,na,102.0,61,False,NAN,Q1 cold-start
R_SVmBvLv4VYHH09X,20,12,11,7,0.6,0.3183783994598849,2.15,0.75,Privada_sensible,na,146.0,54,False,ABIS_BOOK,Q1 cold-start
R_SZxS1wRL7j2vEk1,15,14,10,9,0.9333333333333333,0.43697959905722983,2.4,0.4666666666666667,Privada_sensible,na,260.0,89,False,PET_FOOD,Q2
R_T0dG5GjDneWRmUx,20,9,7,5,0.45,0.3427366605681856,3.0,0.05,No_privada,na,433.0,225,False,ABIS_BOOK,Q3
R_T2cW0jWTLQ3jpYZ,20,13,9,6,0.65,0.5408901702326815,2.85,0.45,Privada_sensible,na,103.0,68,False,FLASH_MEMORY,Q1 cold-start
R_T4THXKAQCwg9ZXb,10,6,4,3,0.6,0.5996797828510865,2.2,0.4,Privada_sensible,na,214.0,117,False,ABIS_BOOK,Q2
R_T5DC7dqaf9rgfPr,6,5,5,4,0.8333333333333334,0.3725575260962082,3.0,0.16666666666666666,No_privada,na,263.0,132,False,PET_FOOD,Q2
R_T5bktxnjxE8B7ON,1,1,1,1,1.0,1.0,3.0,1.0,No_privada,na,138.0,87,False,STORAGE_RACK,Q1 cold-start
R_T7M3PV3PTCNrGxz,20,7,6,4,0.35,0.369450579186437,3.0,0.35,No_privada,na,364.0,85,False,GIFT_CARD,Q2
R_T7v2MVF1Q9nTL2N,11,8,9,6,0.7272727272727273,0.293219859283141,2.4545454545454546,0.09090909090909091,Privada_sensible,na,287.0,141,False,ABIS_BOOK,Q2
R_TaWqCKHh5CNkWhb,20,16,13,9,0.8,0.4007374554760953,3.0,0.35,No_privada,na,928.0,291,False,BREAKFAST_CEREAL,Q4 historial rico
R_TaZ5ro6xrlPTVXX,20,15,14,9,0.75,0.4501919854865098,2.5,0.1,Privada_sensible,na,298.0,124,False,MEDICATION,Q2
R_TcSJ9ex2QSL6adP,10,5,4,4,0.5,0.33880957505483866,1.9,0.8,Privada_sensible,na,534.0,195,False,ABIS_BOOK,Q3
R_Thedjrv7zp1BGwh,1,1,1,1,1.0,1.0,3.0,1.0,Privada_moderada,control,283.0,127,False,PET_FOOD,Q2
R_ThgquWaLDQWLCcp,1,1,1,1,1.0,1.0,2.0,1.0,No_privada,na,342.0,139,False,ABIS_BOOK,Q2
R_Ti3cm30P8q5pSAF,1,1,1,1,1.0,1.0,2.0,1.0,Privada_sensible,na,176.0,94,False,ABIS_BOOK,Q1 cold-start
R_TmUTipQ7flj3x5f,2,2,2,2,1.0,0.6664769977468747,1.5,0.5,Privada_sensible,na,443.0,183,False,NAN,Q3
R_TmZ0K9e559ejvl7,2,2,2,2,1.0,0.6449753318503255,2.5,1.0,Privada_sensible,na,186.0,85,False,STRING_LIGHT,Q1 cold-start
R_TnZKYgbGLyAswBH,20,15,9,8,0.75,0.3613982132025529,2.95,0.65,Privada_moderada,control,169.0,66,False,INCONTINENCE_PROTECTOR,Q1 cold-start
R_Tnr9VpjriIG3RYt,16,9,8,6,0.5625,0.5482496242145933,3.0,0.375,Privada_moderada,control,264.0,121,False,ABIS_BOOK,Q2
R_To1AwJ2KphjS9Il,17,5,4,3,0.29411764705882354,0.3913707651852919,3.0,0.17647058823529413,No_privada,na,10.0,3,False,GIFT_CARD,Q1 cold-start
R_TtK3Qkb3c3EIeoV,20,11,8,8,0.55,0.3105251134954218,2.25,0.05,Privada_sensible,na,545.0,197,False,NAN,Q3
R_TtjiPpPxtkd5Vnz,3,1,1,1,0.3333333333333333,0.9523631353036061,3.0,1.0,Privada_sensible,na,786.0,61,False,ABIS_BOOK,Q4 historial rico
R_TuQNY5iHho0sERH,20,10,8,5,0.5,0.3581061708570028,3.0,0.15,Privada_moderada,control,697.0,178,False,TABLETOP_GAME,Q4 historial rico
R_TuS87GjLjJcOQRb,7,3,2,2,0.42857142857142855,0.6040442547943645,3.0,0.5714285714285714,Privada_moderada,control,462.0,181,False,GIFT_CARD,Q3
R_TuY2sx5OLfm369j,20,9,7,4,0.45,0.35364498439314057,3.0,0.05,Privada_moderada,treated,31.0,14,False,GIFT_CARD,Q1 cold-start
R_TvDc68p9cLsBbO1,2,2,2,2,1.0,0.9754078160300848,3.0,1.0,Privada_moderada,control,23.0,17,False,NAN,Q1 cold-start
R_TwqkiWpv7r8ygAV,2,2,2,2,1.0,0.8953521690564155,2.5,1.0,Privada_sensible,na,298.0,83,False,PET_FOOD,Q2
